algorithm,median_best_true,Q1,Q3,IQR,mean_best_true,std_best_true,feasible_ratio
GA,-0.734902003532619,-0.734911507247467,-0.7348839755092991,2.7531738167940745e-05,-0.7348859386797361,5.501484616398177e-05,1.0
SA,-0.7312671759582625,-0.7338027602544737,-0.7298532463264642,0.003949513928009463,-0.7280296522078412,0.018267231862502967,1.0
ARSA,-0.7297933003879281,-0.7298712923727615,-0.7288376454438903,0.0010336469288712014,-0.727478155608092,0.009187695956230028,1.0
