algorithm,median_true_f,iqr_true_f,q1_true_f,q3_true_f,mean_true_f,std_true_f,best_true_f,worst_true_f,feasible_ratio
NAMS,-0.7166457479761998,0.03863950569567132,-0.7278694015702536,-0.6892298958745823,-0.7055250582169518,0.0272254107615298,-0.7347231059382717,-0.6346960221752147,1.0
GA,-0.7151663988112756,0.02831478431215928,-0.7259969314296029,-0.6976821471174436,-0.7051034457207576,0.02886883848261536,-0.7298733758560609,-0.5808671458815993,1.0
SA,-0.6969863876124347,0.13914524075143853,-0.7243126638475906,-0.5851674230961521,-0.6354312926790459,0.12134998773105198,-0.7340462756107071,-0.33351782278078096,1.0
